Season;Kolo;Datum;Domaci;Hoste;Score
season_13-14;1;19.08. 22:00;Almeria;Villarreal;2  :  3
season_13-14;1;19.08. 22:00;Celta Vigo;Espanyol;2  :  2
season_13-14;1;19.08. 20:00;Vallecano;Elche;3  :  0
season_13-14;1;18.08. 23:00;Sevilla;Atl. Madrid;1  :  3
season_13-14;1;18.08. 21:00;Osasuna;Granada;1  :  2
season_13-14;1;18.08. 21:00;Real Madrid;Betis;2  :  1
season_13-14;1;18.08. 19:00;Barcelona;Levante;7  :  0
season_13-14;1;17.08. 23:00;Valencia;Malaga;1  :  0
season_13-14;1;17.08. 21:00;Valladolid;Ath. Bilbao;1  :  2
season_13-14;1;17.08. 19:00;Real Sociedad;Getafe;2  :  0
season_13-14;2;26.08. 21:00;Granada;Real Madrid;0  :  1
season_13-14;2;25.08. 23:00;Betis;Celta Vigo ;1  :  2
season_13-14;2;25.08. 21:00;Levante;Sevilla;0  :  0
season_13-14;2;25.08. 21:00;Malaga;Barcelona;0  :  1
season_13-14;2;25.08. 19:00;Atl. Madrid;Vallecano;5  :  0
season_13-14;2;24.08. 23:00;Villarreal;Valladolid;2  :  1
season_13-14;2;24.08. 21:00;Espanyol;Valencia;3  :  1
season_13-14;2;24.08. 19:00;Elche;Real Sociedad;1  :  1
season_13-14;2;23.08. 22:00;Ath. Bilbao;Osasuna;2  :  0
season_13-14;2;23.08. 20:00;Getafe;Almeria;2  :  2
season_13-14;3;01.09. 21:00;Sevilla;Malaga ;2  :  2
season_13-14;3;01.09. 21:00;Valencia;Barcelona;2  :  3
season_13-14;3;01.09. 19:00;Real Sociedad;Atl. Madrid;1  :  2
season_13-14;3;01.09. 17:00;Espanyol;Betis;0  :  0
season_13-14;3;01.09. 12:00;Real Madrid;Ath. Bilbao;3  :  1
season_13-14;3;31.08. 23:00;Osasuna;Villarreal;0  :  3
season_13-14;3;31.08. 21:00;Valladolid;Getafe;1  :  0
season_13-14;3;31.08. 19:00;Celta Vigo;Granada;1  :  1
season_13-14;3;30.08. 23:00;Almeria ;Elche;2  :  2
season_13-14;3;30.08. 23:00;Vallecano ;Levante;1  :  2
season_13-14;4;16.09. 22:00;Ath. Bilbao;Celta Vigo;3  :  2
season_13-14;4;16.09. 20:00;Elche;Valladolid;0  :  0
season_13-14;4;15.09. 21:00;Betis;Valencia;3  :  1
season_13-14;4;15.09. 19:00;Malaga;Vallecano;5  :  0
season_13-14;4;15.09. 17:00;Getafe;Osasuna;2  :  1
season_13-14;4;15.09. 12:00;Granada ;Espanyol;0  :  1
season_13-14;4;14.09. 22:00;Villarreal;Real Madrid;2  :  2
season_13-14;4;14.09. 20:00;Barcelona;Sevilla;3  :  2
season_13-14;4;14.09. 18:00;Levante;Real Sociedad;0  :  0
season_13-14;4;14.09. 16:00;Atl. Madrid;Almeria;4  :  2
