Season;Kolo;Datum;Domaci;Hoste;Score;Result[team];Goly 0-2;Kazdy tym dal gol
season_13-14;1;19.08. 22:00;Almeria;Villarreal;2  :  3;Villarreal;false;true
season_13-14;1;19.08. 22:00;Celta Vigo;Espanyol;2  :  2;draw;false;true
season_13-14;1;19.08. 20:00;Vallecano;Elche;3  :  0;Vallecano;false;false
season_13-14;1;18.08. 23:00;Sevilla;Atl. Madrid;1  :  3;Atl. Madrid;false;true
season_13-14;1;18.08. 21:00;Osasuna;Granada;1  :  2;Granada;false;true
season_13-14;1;18.08. 21:00;Real Madrid;Betis;2  :  1;Real Madrid;false;true
season_13-14;1;18.08. 19:00;Barcelona;Levante;7  :  0;Barcelona;false;false
season_13-14;1;17.08. 23:00;Valencia;Malaga;1  :  0;Valencia;true;false
season_13-14;1;17.08. 21:00;Valladolid;Ath. Bilbao;1  :  2;Ath. Bilbao;false;true
season_13-14;1;17.08. 19:00;Real Sociedad;Getafe;2  :  0;Real Sociedad;true;false
season_13-14;2;26.08. 21:00;Granada;Real Madrid;0  :  1;Real Madrid;true;false
season_13-14;2;25.08. 23:00;Betis;Celta Vigo;1  :  2;Celta Vigo;false;true
season_13-14;2;25.08. 21:00;Levante;Sevilla;0  :  0;draw;true;false
season_13-14;2;25.08. 21:00;Malaga;Barcelona;0  :  1;Barcelona;true;false
season_13-14;2;25.08. 19:00;Atl. Madrid;Vallecano;5  :  0;Atl. Madrid;false;false
season_13-14;2;24.08. 23:00;Villarreal;Valladolid;2  :  1;Villarreal;false;true
season_13-14;2;24.08. 21:00;Espanyol;Valencia;3  :  1;Espanyol;false;true
season_13-14;2;24.08. 19:00;Elche;Real Sociedad;1  :  1;draw;true;true
season_13-14;2;23.08. 22:00;Ath. Bilbao;Osasuna;2  :  0;Ath. Bilbao;true;false
season_13-14;2;23.08. 20:00;Getafe;Almeria;2  :  2;draw;false;true
season_13-14;3;01.09. 21:00;Sevilla;Malaga;2  :  2;draw;false;true
season_13-14;3;01.09. 21:00;Valencia;Barcelona;2  :  3;Barcelona;false;true
season_13-14;3;01.09. 19:00;Real Sociedad;Atl. Madrid;1  :  2;Atl. Madrid;false;true
season_13-14;3;01.09. 17:00;Espanyol;Betis;0  :  0;draw;true;false
season_13-14;3;01.09. 12:00;Real Madrid;Ath. Bilbao;3  :  1;Real Madrid;false;true
season_13-14;3;31.08. 23:00;Osasuna;Villarreal;0  :  3;Villarreal;false;false
